DATE,ZAFGDPDEFQISMEI
2006-04-01,56.5840562391425
2006-07-01,58.0395699782194
2006-10-01,58.6342242596834
2007-01-01,60.7283746542474
2007-04-01,61.2136836185489
2007-07-01,61.9424502117059
2007-10-01,63.3611467445111
2008-01-01,65.3946321001571
2008-04-01,65.8115264010724
2008-07-01,67.5441521755502
2008-10-01,67.9459138467813
2009-01-01,70.7824794941381
2009-04-01,71.8947012810176
2009-07-01,73.4756568845741
2009-10-01,73.6544525133827
2010-01-01,75.0498637829636
2010-04-01,77.2023129526842
2010-07-01,77.1613644250282
2010-10-01,78.1220791315942
2011-01-01,79.0619097767942
2011-04-01,80.4665774205592
2011-07-01,82.0130071561783
2011-10-01,83.0352079071204
2012-01-01,83.6271743303399
2012-04-01,84.6412372653981
2012-07-01,85.3139510050571
2012-10-01,86.2154127843595
