"","year","quarter","Real_interest_rate"
"123",1990,3,18.999734980182
"124",1990,4,18.9998202249435
"125",1991,1,18.6665497907597
"126",1991,2,17.9998914910932
"127",1991,3,17.9998016201025
"128",1991,4,17.9998429919722
"129",1992,1,17.6665961152442
"130",1992,2,16.666584469864
"131",1992,3,15.9999223728046
"132",1992,4,15.3333265339464
"133",1993,1,14.333260405806
"134",1993,2,13.9999832171522
"135",1993,3,13.9999837801163
"136",1993,4,12.9999943175388
"137",1994,1,12.9999781979253
"138",1994,2,12.9999625917671
"139",1994,3,13.3331568599576
"140",1994,4,13.9999916226916
"141",1995,1,14.6666060191745
"142",1995,2,15.3333314255766
"143",1995,3,15.9999957749231
"144",1995,4,15.9999704629926
"145",1996,1,15.9999783522251
"146",1996,2,16.9999388846707
"147",1996,3,16.9999415792113
"148",1996,4,17.6666197823809
"149",1997,1,17.9999632688293
"150",1997,2,17.9999911370024
"151",1997,3,17.9999914051721
"152",1997,4,17
"153",1998,1,16.6666455277363
"154",1998,2,18.7133176129991
"155",1998,3,22.6831330047668
"156",1998,4,20.9233333333333
"157",1999,1,18.5633333333333
"158",1999,2,16.3433288683579
"159",1999,3,14.1633333333333
"160",1999,4,13.0633264840297
"161",2000,1,12.7499869603657
"162",2000,2,12.7499746716966
"163",2000,3,12.7499802370903
"164",2000,4,12.9999940191045
"165",2001,1,12.9999769746502
"166",2001,2,12.6666485503063
"167",2001,3,11.4999997776058
"168",2001,4,10.4999733921847
"169",2002,1,11.8332126544165
"170",2002,2,12.8332885614149
"171",2002,3,13.8332833566665
"172",2002,4,14.4999572441826
"173",2003,1,14.4999943562407
"174",2003,2,13.9999991750042
"175",2003,3,11.9999946357473
"176",2003,4,9.33329535475423
"177",2004,1,8.99998475346414
"178",2004,2,8.99999975694558
"179",2004,3,8.66666592414392
"180",2004,4,8.4999951542906
"181",2005,1,8.49998921222594
"182",2005,2,7.9999949894618
"183",2005,3,7.99999840740275
"184",2005,4,7.99999987059159
"185",2006,1,7.99999539885261
"186",2006,2,8.16663589331582
"187",2006,3,8.83331133896388
"188",2006,4,9.66666286726029
"189",2007,1,9.99999196214051
"190",2007,2,10.1666325078786
"191",2007,3,10.8332974023998
"192",2007,4,11.6666408703992
